bid_id,bidder_id,auction,merchandise,device,time,country,ip,url,outcome
89,037d9f10da403d8d5f94b6e2957a3702f6x07,cxcqe,home goods,phone71,onepm,za,38.122.182.50,q3ptdym7sr4agaj,0
133,0547dbd3ecb4a293913f138d60b586fdf4ane,9e6f5,sporting goods,phone90,onepm,mx,96.217.45.28,vasstdc27m7nks3,0
134,037d9f10da403d8d5f94b6e2957a3702f6x07,sc1cr,home goods,phone33,onepm,th,86.200.121.249,ztwq32qvmyby357,0
381,0565a780f2c5b46837bbe9739ef15ea92fdu0,gjknq,mobile,phone177,onepm,in,113.172.86.24,q2xfkx8ike6ema4,0
398,055282b75717345ba6f53d40e9e6d6c56qrzp,crsvb,sporting goods,phone181,onepm,it,228.147.92.222,9ysjpbdvbimygsc,0
500,037d9f10da403d8d5f94b6e2957a3702f6x07,k3qaa,home goods,phone208,onepm,in,243.69.78.218,tpvyo4b9pb5grhu,0
577,037d9f10da403d8d5f94b6e2957a3702f6x07,ikerx,home goods,phone30,onepm,in,186.145.19.206,vasstdc27m7nks3,0
631,0ad17aa9111f657d71cd3005599afc24fd44y,0wwiu,mobile,phone4,onepm,in,205.231.31.91,vasstdc27m7nks3,1
745,0ad17aa9111f657d71cd3005599afc24fd44y,gi05a,mobile,phone45,onepm,in,144.231.209.235,3jtutcqo5etewbj,1
911,05a07a27e235d01fe480ea6ac73b8838jq28x,sdxtz,mobile,phone11,onepm,in,184.69.161.176,5syrb73n27nqbqx,0
915,037d9f10da403d8d5f94b6e2957a3702f6x07,5ukki,home goods,phone90,onepm,us,69.68.67.146,ba280sd861l6b5x,0
916,0ad17aa9111f657d71cd3005599afc24fd44y,c64op,mobile,phone142,onepm,in,202.113.220.226,gykz6hvtu5mgpp2,1
928,037d9f10da403d8d5f94b6e2957a3702f6x07,aeftx,home goods,phone2,onepm,th,37.250.56.211,1vg4b99khrw3atb,0
1007,037d9f10da403d8d5f94b6e2957a3702f6x07,jj2gx,home goods,phone308,onepm,th,5.75.128.61,224f0p1g2i73mn5,0
1064,05a07a27e235d01fe480ea6ac73b8838jq28x,z1ujg,mobile,phone11,onepm,in,184.69.161.176,5syrb73n27nqbqx,0
1073,037d9f10da403d8d5f94b6e2957a3702f6x07,bemxq,home goods,phone324,onepm,mx,179.250.201.252,8hcpjbfyygc4guv,0
1104,0ad17aa9111f657d71cd3005599afc24fd44y,xe906,mobile,phone329,onepm,my,1.215.207.170,ista2hpwdqlyefd,1
1115,055282b75717345ba6f53d40e9e6d6c56qrzp,y53wq,sporting goods,phone330,onepm,tr,41.163.125.121,2qn34dd9s1c26cm,0
1255,037d9f10da403d8d5f94b6e2957a3702f6x07,v1kan,home goods,phone229,onepm,uk,203.248.125.10,5ygr1plhmcmv5xc,0
1291,037d9f10da403d8d5f94b6e2957a3702f6x07,x3hrp,home goods,phone312,onepm,us,16.50.87.246,9bajs8ifk25ytbx,0
1432,055282b75717345ba6f53d40e9e6d6c56qrzp,1me01,sporting goods,phone31,onepm,za,102.117.119.234,vasstdc27m7nks3,0
1436,01067975436d123f717ee5aba0dd4bbfa0937,jefix,jewelry,phone112,onepm,id,33.205.139.7,vasstdc27m7nks3,0
1609,0ad17aa9111f657d71cd3005599afc24fd44y,4wcmc,mobile,phone46,onepm,in,205.65.88.211,ga6muttgqjfpysj,1
1667,055282b75717345ba6f53d40e9e6d6c56qrzp,oakqw,sporting goods,phone5,onepm,in,107.181.75.241,vasstdc27m7nks3,0
1693,01cda526658455000913950f20cf31a2q6nsf,hcooo,home goods,phone35,onepm,za,93.254.87.176,vasstdc27m7nks3,0
1940,0ad17aa9111f657d71cd3005599afc24fd44y,yf4wl,mobile,phone11,onepm,pl,81.174.82.150,rpqxg4vgiv7o2jj,1
2088,0ad17aa9111f657d71cd3005599afc24fd44y,5h9tv,mobile,phone13,onepm,in,45.8.64.120,4dd8ei0o5oqsua3,1
2379,0ad17aa9111f657d71cd3005599afc24fd44y,w7htt,mobile,phone217,onepm,in,108.160.169.174,vasstdc27m7nks3,1
2599,055282b75717345ba6f53d40e9e6d6c56qrzp,5zarn,sporting goods,phone31,onepm,uk,218.30.29.143,zmb0xn7zz298yby,0
3147,055282b75717345ba6f53d40e9e6d6c56qrzp,300ho,sporting goods,phone273,onepm,ni,160.24.158.113,mez3cv8170yu1by,0
