bid_id,bidder_id,auction,merchandise,device,time,country,ip,url
0,8dac2b259fd1c6d1120e519fb1ac14fbqvax8,ewmzr,jewelry,phone0,tenam,us,69.166.231.58,vasstdc27m7nks3
1,668d393e858e8126275433046bbd35c6tywop,aeqok,furniture,phone1,tenam,in,50.201.125.84,jmqlhflrzwuay9c
2,aa5f360084278b35d746fa6af3a7a1a5ra3xe,wa00e,home goods,phone2,tenam,py,112.54.208.157,vasstdc27m7nks3
3,3939ac3ef7d472a59a9c5f893dd3e39fh9ofi,jefix,jewelry,phone4,tenam,in,18.99.175.133,vasstdc27m7nks3
4,8393c48eaf4b8fa96886edc7cf27b372dsibi,jefix,jewelry,phone5,tenam,in,145.138.5.37,vasstdc27m7nks3
5,e8291466de91b0eb4e1515143c7f74dexy2yr,3vi4t,mobile,phone7,tenam,ru,91.107.221.27,vasstdc27m7nks3
6,eef4c687daf977f64fc1d08675c44444raj3s,kjlzx,mobile,phone2,tenam,th,152.235.155.159,j9nl1xmo6fqhcc6
7,ab056855c9ca9d36390feae1fa485883issyg,f5f6k,home goods,phone8,tenam,id,3.210.112.183,hnt6hu93a3z1cpc
8,d600dc03b11e7d782e1e4dae091b084a1h5ch,h7jjx,home goods,phone9,tenam,th,103.64.157.225,vasstdc27m7nks3
9,a58ace8b671a7531c88814bc86b2a34cf0crb,3zpkj,sporting goods,phone4,tenam,za,123.28.123.226,vasstdc27m7nks3
10,a58ace8b671a7531c88814bc86b2a34cf0crb,z6j8b,sporting goods,phone10,tenam,ng,209.80.85.101,adgjz71s3p2oiau
11,fe37b8b29d26021ea9462bcc7c5bf5c2pbya7,jefix,jewelry,phone11,tenam,sd,249.145.124.218,9qikt9049fyukcd
12,990db0dcdb665fb8fda5845b3e5d63082mbqq,jefix,home goods,phone12,tenam,in,200.212.4.79,f07dfiidpjifv9w
13,7e34a26c4c339e875997f4b9239d2b5fscng4,nbx39,mobile,phone13,tenam,in,143.183.225.33,e5i17pk9wygxewv
14,8dac2b259fd1c6d1120e519fb1ac14fbqvax8,wberf,jewelry,phone15,tenam,au,134.243.148.253,vasstdc27m7nks3
15,6c8ffec692e88d81e1b18d47818abb04v6llr,3pt0o,home goods,phone3,tenam,id,220.216.170.202,l2585vww95sbk1c
16,1a9c554b044c77239b63636008d353d4vy9kh,xk5nb,mobile,phone16,tenam,in,130.252.241.92,z0xsd05zh5z8j7l
17,ffbc0fdfbf19a8a9116b68714138f2902cc13,nbx39,mobile,phone17,tenam,in,254.230.31.160,qlbvjmkspxawtn1
18,c4856fd5abe8f6d6dea36ca2fec444faauos8,2hkjh,jewelry,phone18,tenam,us,161.0.93.123,9vr179ujwjgoxt3
19,37bf6f23b628a3e2b5b22ba81beccbef0efoh,qtmwx,jewelry,phone16,tenam,in,67.52.51.193,r1pn2yun70umqqk
20,af9c96944265cf541b3fe734a057821a825l7,jtxiv,office equipment,phone19,tenam,hr,144.100.75.92,vasstdc27m7nks3
21,d174177146370aacbd5ae107b6be78828tx3e,ksqse,home goods,phone2,tenam,in,249.27.204.83,vasstdc27m7nks3
22,6b09f3376045ebad1504abe3b05c9c943aezq,ctfha,jewelry,phone5,tenam,np,20.126.72.67,vasstdc27m7nks3
23,6c8ffec692e88d81e1b18d47818abb04v6llr,2yowp,home goods,phone20,tenam,iq,140.231.164.76,s29w055z2b9jsyt
24,d47110cdd3eeb1ec25659f4285730e0a28ofd,7msk4,jewelry,phone21,tenam,id,65.42.174.33,uzh1u393rqmc1ox
25,668d393e858e8126275433046bbd35c6tywop,38v0a,furniture,phone4,tenam,bd,147.64.206.30,vasstdc27m7nks3
26,c709b6c05ebd88124fe639a70103c8aerho8s,46i7t,home goods,phone23,tenam,tr,214.175.246.198,vasstdc27m7nks3
27,aa5f360084278b35d746fa6af3a7a1a5ra3xe,88xe3,home goods,phone24,tenam,ch,144.203.164.7,526pa711hpwgwta
28,a58ace8b671a7531c88814bc86b2a34cf0crb,74uth,sporting goods,phone25,tenam,ke,243.125.22.173,co51dtt0pyag991
29,0dea01e325acccb9d2e7cdbf0150619c6aycy,hf2fe,jewelry,phone26,tenam,th,86.200.121.249,v8nphksxp6sr3o1
30,708ba5d36271639a9003ace4dc2cc540mugek,ewmzr,mobile,phone27,tenam,us,196.99.84.184,a1qvn2e5zlg48fw
31,45972f59df79953d9bcf04a76dbe0f51z23qd,4q9ti,jewelry,phone28,tenam,uk,194.131.85.114,984w81hc69t6cpa
32,8e46e0478d1fda88696becb31ff7978am9gxx,k3qaa,sporting goods,phone29,tenam,in,244.58.212.51,vasstdc27m7nks3
33,a58ace8b671a7531c88814bc86b2a34cf0crb,cqcep,sporting goods,phone31,tenam,za,220.231.174.196,pq96f16urkbpklz
34,32ba23ef91d1077f41bdee8def79b708wn873,um2u0,sporting goods,phone32,tenam,za,113.104.141.204,9ywsxmm318pvjaz
35,ffbc0fdfbf19a8a9116b68714138f2902cc13,tuhay,mobile,phone5,tenpm,in,237.38.108.211,vasstdc27m7nks3
36,52d8066e28f168e5bee769559ead307e1go7e,165y9,mobile,phone33,tenpm,us,240.205.85.43,azl6m5i5tg78c2j
37,ab7ca72b2babe5c89184cce26625a48dvlebr,qp6cy,home goods,phone34,tenpm,fr,244.10.211.151,vasstdc27m7nks3
38,d174177146370aacbd5ae107b6be78828tx3e,46i7t,home goods,phone2,tenpm,tr,248.214.103.207,vasstdc27m7nks3
39,668d393e858e8126275433046bbd35c6tywop,aeqok,furniture,phone35,tenpm,in,75.11.239.20,i92xwb95qdo901j
40,50a4bfbac8a9653af4099ec1169f684c2nsgu,jefix,jewelry,phone36,tenpm,in,251.134.143.228,zczxbpjxw5e152l
41,cd6e029b117d7a9bf6f80da82ff3e8312lksr,jj2gx,mobile,phone37,tenpm,th,68.16.183.220,al8g5esosb2kasj
42,668d393e858e8126275433046bbd35c6tywop,jkyzt,furniture,phone38,tenpm,in,215.203.78.242,s4hrzaqd5vbq2he
43,6814f3050241b24740bf66a46ea47041d8agb,3boba,jewelry,phone39,tenpm,in,22.136.132.3,t52t5e9863bgdon
44,76f17ce227e593aeff456fed46e36c83a3j72,958x1,mobile,phone42,tenpm,in,254.254.37.252,onbgo5s1m97rxur
45,5944af7bbb3a5ecd57aed3916122c82cu4yny,jefix,jewelry,phone1,tenpm,pk,237.170.2.77,ly23cqxsf91ppa1
46,6c8ffec692e88d81e1b18d47818abb04v6llr,ewmzr,home goods,phone8,tenpm,us,160.9.191.22,lok9xfe6k6rtv8f
47,46a28eaed47c29b4fd148a50cde44840u0bsn,5h9tv,mobile,phone44,tenpm,in,94.210.47.16,4efsnqzirqtxasm
48,ffbc0fdfbf19a8a9116b68714138f2902cc13,gi05a,mobile,phone45,tenpm,in,225.146.227.95,vasstdc27m7nks3
49,77f0bd275f68e66fd99b3f62669933edbzw86,5yrq8,jewelry,phone46,tenpm,tr,172.79.230.196,ukrevxthnrqxufn
50,cffb5f3c1f4ca815d0f643fcb2f2f316beod4,l4efs,jewelry,phone15,tenpm,ke,181.172.13.153,vasstdc27m7nks3
51,e8291466de91b0eb4e1515143c7f74dexy2yr,wa00e,mobile,phone47,tenpm,py,169.133.18.5,vasstdc27m7nks3
52,dd055846eb553ab8e953b084f2048d53bdqec,rsvsf,mobile,phone48,tenpm,us,247.79.64.92,vasstdc27m7nks3
53,a58ace8b671a7531c88814bc86b2a34cf0crb,zem2w,sporting goods,phone0,tenpm,ng,209.80.85.101,xp7ui8892jdydu1
54,bce5eaebd5c81b9e77894f2016747879y7wb3,uk4ci,jewelry,phone49,tenpm,my,239.172.92.212,zk19tcjhkpi4rnd
55,b1863365ae232a316eb946ba56a29415m0gdz,c8cgg,home goods,phone4,tenpm,vn,208.207.224.110,vasstdc27m7nks3
56,8393c48eaf4b8fa96886edc7cf27b372dsibi,jefix,jewelry,phone4,tenpm,in,177.89.184.14,vasstdc27m7nks3
57,e8291466de91b0eb4e1515143c7f74dexy2yr,sxpnh,mobile,phone50,tenpm,my,173.38.70.42,vasstdc27m7nks3
58,fe37b8b29d26021ea9462bcc7c5bf5c2pbya7,jefix,jewelry,phone3,tenpm,in,142.70.7.213,bin7pc5qcf5yv0v
59,efeb284424d406f8dfb4e497e92ae7211mhs4,71jdd,mobile,phone51,tenpm,us,166.208.212.228,vasstdc27m7nks3
60,c4856fd5abe8f6d6dea36ca2fec444faauos8,2jqhl,jewelry,phone19,tenpm,ro,51.137.174.195,lil9p674w7wlavk
61,a58ace8b671a7531c88814bc86b2a34cf0crb,zem2w,sporting goods,phone4,tenpm,gh,163.11.169.45,vasstdc27m7nks3
62,45972f59df79953d9bcf04a76dbe0f51z23qd,uj7b1,jewelry,phone33,tenpm,my,110.208.236.200,inigtibgux2p4xn
63,d174177146370aacbd5ae107b6be78828tx3e,x4bgz,home goods,phone2,tenpm,in,50.154.56.223,vasstdc27m7nks3
64,d179b158f23c0d77c3fdf828694553b8xu7ke,gi05a,mobile,phone52,tenpm,in,193.210.95.87,qvnscsnf3wam6we
65,4232a238b62c76354ab4b078ae70c7dfmhorx,0de93,jewelry,phone53,tenpm,in,166.56.156.227,yqmbi6zqnvk0cut
66,6c8ffec692e88d81e1b18d47818abb04v6llr,vvb6h,home goods,phone54,tenpm,ke,213.204.72.90,vasstdc27m7nks3
67,2419ed502cf6b4cc6feb0a47697a045b4gqiq,ewmzr,mobile,phone55,tenpm,us,231.63.201.73,vasstdc27m7nks3
68,668d393e858e8126275433046bbd35c6tywop,h2xrf,furniture,phone57,tenpm,in,134.198.237.242,1euklxshlldto4z
69,69b83f00712a7306eede7db66f71bfa4ebsd5,iq4pq,jewelry,phone58,tenpm,id,177.47.141.241,spl16isykqai301
70,dd055846eb553ab8e953b084f2048d53bdqec,rsvsf,mobile,phone59,tenpm,us,108.178.101.33,vasstdc27m7nks3
71,e8291466de91b0eb4e1515143c7f74dexy2yr,012wh,mobile,phone22,tenpm,ru,123.165.104.99,vasstdc27m7nks3
72,6c8ffec692e88d81e1b18d47818abb04v6llr,blkjh,home goods,phone23,tenpm,ng,240.131.223.173,vasstdc27m7nks3
73,cd6e029b117d7a9bf6f80da82ff3e8312lksr,u9dyp,mobile,phone60,tenpm,ke,136.75.33.214,vasstdc27m7nks3
74,ffbc0fdfbf19a8a9116b68714138f2902cc13,nbx39,mobile,phone62,tenpm,in,242.252.160.81,k8sd53r7tibdg4a
75,2f13d3d968cc52de9f8d50903d415b81vyx9g,1sate,mobile,phone63,tenpm,in,95.51.199.60,vasstdc27m7nks3
76,dd055846eb553ab8e953b084f2048d53bdqec,rsvsf,mobile,phone48,tenpm,us,3.69.167.5,vasstdc27m7nks3
77,051586c3297f5b992000048f3704550fxja6g,jtxiv,home goods,phone64,tenpm,hr,144.100.75.92,o5qin275zq99zj6
78,98aa60b5e0e217cf79f7ea207b42016ai7ar4,yhoht,sporting goods,phone65,tenpm,ua,130.228.190.75,p2njpr0qehz7gxu
79,f316af4ff85d7d927960ec04446e4e59lcled,jefix,jewelry,phone38,tenpm,in,50.201.125.84,vasstdc27m7nks3
80,d4fff6754330a9c72c75ef359dd802e1xkg2r,7msk4,mobile,phone65,tenpm,in,12.226.44.157,dmvlvd0pjx63f39
81,3939ac3ef7d472a59a9c5f893dd3e39fh9ofi,jefix,jewelry,phone49,tenpm,in,161.223.79.244,io390q7aiyb99wl
82,d79919e5ba11f26bce5e70f0a4f859e3e4q9y,jefix,mobile,phone67,tenpm,id,33.205.139.7,vasstdc27m7nks3
83,1096778aca48c41c8d0e288804d5e4e128pco,rv9yg,jewelry,phone6,elevenpm,au,155.178.253.203,vasstdc27m7nks3
84,aa5f360084278b35d746fa6af3a7a1a5ra3xe,h1ko2,home goods,phone63,elevenpm,tr,170.92.227.44,vasstdc27m7nks3
85,668d393e858e8126275433046bbd35c6tywop,aeqok,furniture,phone57,elevenpm,id,78.177.183.67,oie0vw631m425f3
86,1096778aca48c41c8d0e288804d5e4e128pco,7mkw3,jewelry,phone69,elevenpm,uk,189.38.221.8,vasstdc27m7nks3
87,6b09f3376045ebad1504abe3b05c9c943aezq,c61je,jewelry,phone4,elevenpm,in,51.39.247.61,vasstdc27m7nks3
88,aa5f360084278b35d746fa6af3a7a1a5ra3xe,3s2u1,home goods,phone70,elevenpm,pl,29.21.24.156,h8066asfz6shdux
89,037d9f10da403d8d5f94b6e2957a3702f6x07,cxcqe,home goods,phone71,elevenpm,za,38.122.182.50,q3ptdym7sr4agaj
90,aa5f360084278b35d746fa6af3a7a1a5ra3xe,yhoht,home goods,phone15,elevenpm,ua,158.215.94.113,vasstdc27m7nks3
91,990db0dcdb665fb8fda5845b3e5d63082mbqq,mob55,home goods,phone72,elevenpm,th,187.248.102.28,vasstdc27m7nks3
92,0ca7a449b8a41703b1d54413b2ad32a45lpnt,mccke,jewelry,phone73,elevenpm,id,177.47.141.241,hjy25w4ep1382dx
93,dbd340def489066ae13ffa5cd68e6d2917li7,7mkw3,jewelry,phone65,elevenpm,by,35.210.187.234,okwaprqpmniq4e0
94,cd6e029b117d7a9bf6f80da82ff3e8312lksr,csdsq,mobile,phone74,elevenpm,th,132.237.54.89,vasstdc27m7nks3
95,bc6c5eefd539e199952520ed7933a81fd8tpd,i6t2q,mobile,phone75,elevenpm,in,183.94.36.82,sqnmowcrmupwzv7
96,e1b7b8d401818cb741c852224155704dddfe7,i6t2q,mobile,phone76,elevenpm,in,91.8.60.94,vasstdc27m7nks3
97,a58ace8b671a7531c88814bc86b2a34cf0crb,bhock,sporting goods,phone77,elevenpm,za,218.84.251.113,fm94ma9778du4i1
98,68db26858c44b81b67ea75907665454fbi369,jefix,mobile,phone3,elevenpm,in,160.87.91.239,30a1fsrem51ramt
99,3a92527f2308e7f746cd6c270be2c2a62nbi2,xjpxr,jewelry,phone78,elevenpm,us,172.237.28.107,scrlnymd8bhb4rl
100,ac32d60b9c34a1a06d7ac71d11944d2fucr59,3m3bf,jewelry,phone31,elevenpm,ru,134.105.210.191,x13dz16xbwkvhzr
101,abbaa42002b5ad64d4255c823f663490b2pra,r7u5i,mobile,phone76,elevenpm,in,207.253.4.71,vasstdc27m7nks3
102,8c2bdb9dd878a811701838002627a056be0ce,pjvhl,sporting goods,phone25,elevenpm,id,162.30.44.213,hve6ohg3rupuy8q
103,49751ca502ec6b3a75de1ed1f96cfd50upx4i,jefix,jewelry,phone79,elevenpm,vn,123.42.208.18,vasstdc27m7nks3
104,fd10a3b9be97f053f251665e122aa15c0onyu,zjooo,jewelry,phone4,elevenpm,in,172.180.236.254,vasstdc27m7nks3
105,e8291466de91b0eb4e1515143c7f74dexy2yr,rxz6x,mobile,phone20,elevenpm,ar,165.199.78.204,vasstdc27m7nks3
106,8dac2b259fd1c6d1120e519fb1ac14fbqvax8,hw5at,jewelry,phone80,elevenpm,ke,227.231.81.211,v2gyrh0dbr31atn
107,e12177ff9c1a8413996f7b1a590980c82ofeo,fi8mh,sporting goods,phone81,elevenpm,uk,91.53.170.204,457usxujudk2tc9
108,8b43632b2ac250c4dad3568efa29d22ai6egs,c8hlb,jewelry,phone31,elevenpm,za,122.220.236.87,9vpaxit2i560e7d
109,e3d0a636bf384a7ea8909f392891f37emm7zb,z6j8b,mobile,phone33,elevenpm,zm,127.158.2.34,vasstdc27m7nks3
110,458c8c4e10e5c1b29e3fbe5ee56d46e8y3fb3,uj7b1,sporting goods,phone53,elevenpm,my,149.125.177.230,vasstdc27m7nks3
111,8393c48eaf4b8fa96886edc7cf27b372dsibi,jefix,jewelry,phone15,elevenpm,in,9.150.97.73,vasstdc27m7nks3
112,d79919e5ba11f26bce5e70f0a4f859e3e4q9y,jpxg4,mobile,phone4,elevenpm,id,93.227.210.179,vasstdc27m7nks3
113,d47110cdd3eeb1ec25659f4285730e0a28ofd,wicy8,jewelry,phone82,elevenpm,id,162.30.44.213,vhkop7d3p5t0dpr
